 , , ,F5D1T5,F5D1T10,F5D2T5,F5D2T10,F5D3T5,F5D3T10,F6D1T5,F6D1T10,F6D2T5,F6D2T10,F6D3T5,F6D3T10,F7D1T5,F7D1T10,F7D2T5,F7D2T10,F7D3T5,F7D3T10,F8D1T5,F8D1T10,F8D2T5,F8D2T10,F8D3T5,F8D3T10
Tmax75,\tau150,Avg,0.07,0.08,0.03,0.11,0.05,0.12,0.04,0.07,0.03,0.08,0.04,0.12,0.02,0.07,0.02,0.09,0.04,0.14,0.02,0.06,0.03,0.07,0.04,0.11
Tmax75,\tau150,StdDev,0.06,0.06,0.02,0.06,0.03,0.06,0.04,0.04,0.02,0.06,0.03,0.05,0.03,0.05,0.02,0.10,0.02,0.09,0.02,0.05,0.02,0.04,0.03,0.05
Tmax75,\tau150,Max,0.16,0.19,0.08,0.19,0.11,0.25,0.14,0.15,0.08,0.18,0.10,0.20,0.10,0.21,0.05,0.36,0.07,0.32,0.06,0.15,0.08,0.15,0.11,0.21
Tmax150,\tau50,Min,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02
Tmax150,\tau50,Avg,0.03,0.07,0.01,0.02,0.06,0.16,0.04,0.10,0.02,0.06,0.08,0.29,0.01,0.07,0.01,0.01,0.05,0.26,0.03,0.11,0.02,0.05,0.04,0.19
Tmax150,\tau50,StdDev,0.04,0.10,0.02,0.01,0.05,0.15,0.04,0.08,0.03,0.05,0.05,0.31,0.02,0.14,0.01,0.01,0.04,0.41,0.03,0.10,0.02,0.03,0.03,0.16
Tmax150,\tau50,Max,0.11,0.34,0.07,0.05,0.15,0.46,0.14,0.29,0.12,0.20,0.17,1.02,0.05,0.49,0.04,0.04,0.12,1.44,0.11,0.36,0.07,0.11,0.11,0.55
Tmax150,\tau75,Min,0.01,0.01,0.01,0.02,0.03,0.09,0.01,0.03,0.01,0.08,0.03,0.16,0.00,0.01,0.01,0.02,0.03,0.08,0.01,0.03,0.01,0.06,0.04,0.15
Tmax150,\tau75,Avg,0.04,0.10,0.05,0.15,0.17,1.37,0.04,0.21,0.06,0.26,0.13,1.56,0.02,0.07,0.03,0.12,0.11,0.47,0.04,0.20,0.06,0.20,0.11,1.17
Tmax150,\tau75,StdDev,0.03,0.04,0.05,0.12,0.13,2.69,0.03,0.14,0.04,0.20,0.07,2.27,0.02,0.06,0.02,0.11,0.06,0.55,0.04,0.13,0.04,0.13,0.05,1.12
Tmax150,\tau75,Max,0.09,0.18,0.15,0.46,0.36,9.13,0.09,0.48,0.13,0.69,0.22,7.99,0.04,0.24,0.07,0.39,0.23,1.91,0.13,0.48,0.12,0.46,0.20,4.13
Tmax150,\tau100,Min,0.01,0.10,0.01,0.09,0.04,0.31,0.01,0.08,0.01,0.17,0.04,0.41,0.01,0.06,0.01,0.07,0.03,0.15,0.01,0.10,0.01,0.11,0.04,0.35
Tmax150,\tau100,Avg,0.09,0.20,0.07,0.99,0.15,3.09,0.08,0.51,0.09,1.14,0.16,3.29,0.05,0.19,0.04,0.43,0.12,2.18,0.06,0.53,0.05,0.77,0.14,2.24
Tmax150,\tau100,StdDev,0.05,0.09,0.06,1.52,0.10,3.51,0.04,0.37,0.05,0.99,0.08,2.51,0.02,0.16,0.03,0.47,0.08,2.82,0.03,0.39,0.03,0.53,0.09,1.82
Tmax150,\tau100,Max,0.14,0.43,0.21,5.20,0.38,8.19,0.16,1.19,0.17,3.37,0.31,6.61,0.08,0.63,0.09,1.55,0.26,2.60,0.10,1.45,0.10,1.66,0.34,6.32
Tmax150,\tau125,Min,0.01,0.15,0.01,0.29,0.06,1.13,0.01,0.13,0.02,0.42,0.07,1.48,0.01,0.10,0.01,0.25,0.04,0.59,0.01,0.18,0.04,0.24,0.07,1.19
Tmax150,\tau125,Avg,0.09,0.34,0.08,1.85,0.25,4.71,0.06,0.63,0.08,2.05,0.22,3.99,0.05,0.42,0.05,0.98,0.15,3.23,0.06,0.71,0.09,1.13,0.15,2.54
Tmax150,\tau125,StdDev,0.04,0.15,0.04,2.59,0.18,5.55,0.04,0.35,0.05,1.61,0.15,2.89,0.03,0.24,0.02,0.61,0.08,2.53,0.02,0.48,0.03,0.62,0.07,2.11
Tmax150,\tau125,Max,0.16,0.62,0.14,9.25,0.68,5.29,0.15,1.54,0.17,5.10,0.57,7.88,0.10,0.88,0.09,2.14,0.30,9.07,0.09,1.78,0.16,2.26,0.27,8.41
Tmax150,\tau150,Min,0.04,0.18,0.01,0.42,0.13,1.75,0.05,0.24,0.02,0.54,0.09,1.99,0.01,0.14,0.01,0.31,0.09,0.91,0.04,0.20,0.04,0.34,0.10,0.85
Tmax150,\tau150,Avg,0.09,0.54,0.11,2.15,0.20,3.59,0.09,0.70,0.10,1.75,0.19,4.02,0.06,0.65,0.08,1.07,0.18,2.85,0.07,0.74,0.08,1.21,0.17,1.89
Tmax150,\tau150,StdDev,0.04,0.27,0.04,2.55,0.08,1.49,0.03,0.41,0.06,1.08,0.08,2.34,0.03,0.41,0.04,0.57,0.08,1.80,0.03,0.50,0.03,0.71,0.07,0.72
Tmax150,\tau150,Max,0.17,1.00,0.14,8.68,0.35,5.94,0.15,1.48,0.19,4.30,0.33,9.90,0.11,1.49,0.16,1.95,0.38,6.22,0.11,1.83,0.16,2.59,0.32,3.59
Tmax300,\tau50,Min,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03
Tmax300,\tau50,Avg,0.03,0.06,0.02,0.02,0.07,0.15,0.03,0.11,0.02,0.06,0.06,0.31,0.01,0.06,0.00,0.01,0.06,0.28,0.03,0.11,0.01,0.05,0.07,0.20
Tmax300,\tau50,StdDev,0.05,0.06,0.04,0.02,0.05,0.13,0.04,0.07,0.03,0.03,0.04,0.30,0.01,0.12,0.00,0.01,0.05,0.49,0.03,0.09,0.01,0.03,0.06,0.15
Tmax300,\tau50,Max,0.15,0.21,0.12,0.09,0.16,0.44,0.15,0.25,0.10,0.13,0.14,0.94,0.05,0.41,0.01,0.04,0.20,1.71,0.07,0.36,0.05,0.11,0.22,0.53
Tmax300,\tau75,Min,0.00,0.01,0.01,0.02,0.07,0.09,0.01,0.04,0.01,0.10,0.05,0.20,0.00,0.01,0.01,0.01,0.02,0.06,0.01,0.04,0.01,0.08,0.04,0.20
Tmax300,\tau75,Avg,0.05,0.11,0.04,0.17,0.19,1.21,0.06,0.23,0.05,0.31,0.14,2.23,0.02,0.07,0.03,0.14,0.10,0.66,0.04,0.18,0.06,0.21,0.13,2.98
Tmax300,\tau75,StdDev,0.05,0.05,0.04,0.13,0.11,2.33,0.04,0.14,0.03,0.32,0.07,2.71,0.02,0.06,0.03,0.17,0.07,0.96,0.03,0.08,0.04,0.11,0.08,4.51
Tmax300,\tau75,Max,0.13,0.20,0.10,0.48,0.41,7.92,0.14,0.48,0.09,1.18,0.27,8.17,0.06,0.23,0.09,0.59,0.23,3.14,0.08,0.31,0.15,0.45,0.27,2.01
Tmax300,\tau100,Min,0.01,0.07,0.01,0.17,0.03,0.25,0.04,0.22,0.02,0.56,0.10,1.40,0.01,0.08,0.01,0.11,0.05,0.17,0.03,0.24,0.02,0.64,0.07,0.80
Tmax300,\tau100,Avg,0.08,0.19,0.10,4.50,0.21,3.47,0.07,0.68,0.15,5.38,0.27,3.91,0.07,0.20,0.07,2.19,0.15,2.46,0.08,0.76,0.13,4.54,0.15,3.79
Tmax300,\tau100,StdDev,0.05,0.08,0.04,6.07,0.22,3.26,0.03,0.28,0.07,5.66,0.23,2.47,0.05,0.13,0.04,2.82,0.10,1.65,0.04,0.41,0.06,4.46,0.07,2.11
Tmax300,\tau100,Max,0.14,0.33,0.17,4.68,0.80,9.47,0.14,1.09,0.22,8.57,0.90,8.89,0.14,0.53,0.17,7.81,0.30,5.03,0.17,1.48,0.25,9.79,0.28,6.99
