 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax75,tau50,Iter4,0.00,0.09,0.00,0.01,0.01,0.15,0.00,0.15,0.00,0.02,0.01,0.04,0.00,0.01,0.00,0.01,0.01,0.05,0.00,0.05,0.00,0.02,0.01,0.04
Tmax75,tau50,Iter5,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.02,0.01,0.02,0.01,0.03,0.00,0.01,0.00,0.01,0.01,0.05,0.00,0.02,0.00,0.01,0.01,0.02
Tmax75,tau50,Iter6,0.01,0.01,0.01,0.01,0.07,0.10,0.01,0.02,0.01,0.03,0.08,0.18,0.01,0.01,0.01,0.01,0.04,0.07,0.01,0.02,0.01,0.02,0.15,0.11
Tmax75,tau50,Iter7,0.07,0.07,0.00,0.02,0.06,0.17,0.05,0.08,0.01,0.03,0.07,0.45,0.05,0.07,0.00,0.02,0.17,0.21,0.04,0.08,0.01,0.02,0.12,0.11
Tmax75,tau50,Iter8,0.01,0.14,0.00,0.01,0.14,0.35,0.01,0.12,0.01,0.04,0.03,0.30,0.01,0.05,0.00,0.01,0.05,0.28,0.01,0.09,0.01,0.03,0.07,0.26
Tmax75,tau50,Iter9,0.01,0.01,0.01,0.01,0.21,0.10,0.08,0.12,0.01,0.02,0.21,0.14,0.01,0.01,0.01,0.01,0.19,0.15,0.01,0.01,0.01,0.02,0.16,0.12
Tmax75,tau75,Iter0,0.07,0.19,0.01,0.13,0.11,0.37,0.07,0.21,0.01,0.10,0.03,0.46,0.04,0.27,0.01,0.41,0.04,0.45,0.01,0.19,0.01,0.21,0.12,0.54
Tmax75,tau75,Iter1,0.07,0.09,0.11,0.12,0.23,0.11,0.04,0.05,0.09,0.05,0.03,0.03,0.04,0.03,0.04,0.12,0.02,0.03,0.04,0.02,0.09,0.20,0.02,0.03
Tmax75,tau75,Iter2,0.00,0.01,0.01,0.01,0.13,0.04,0.01,0.01,0.01,0.02,0.07,0.07,0.00,0.01,0.01,0.01,0.02,0.03,0.00,0.01,0.01,0.02,0.03,0.04
Tmax75,tau75,Iter3,0.00,0.02,0.01,0.02,0.01,0.08,0.00,0.02,0.00,0.02,0.02,0.10,0.00,0.02,0.01,0.01,0.01,0.07,0.00,0.06,0.01,0.02,0.01,0.16
Tmax75,tau75,Iter4,0.00,0.12,0.00,0.02,0.01,0.11,0.00,0.05,0.00,0.02,0.01,0.10,0.00,0.04,0.00,0.02,0.01,0.03,0.00,0.06,0.00,0.03,0.01,0.04
Tmax75,tau75,Iter5,0.01,0.06,0.02,0.15,0.02,0.14,0.01,0.08,0.01,0.03,0.01,0.19,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.09
Tmax75,tau75,Iter6,0.01,0.02,0.09,0.10,0.08,0.15,0.02,0.03,0.08,0.08,0.08,0.19,0.01,0.02,0.02,0.04,0.12,0.15,0.01,0.02,0.05,0.09,0.05,0.19
Tmax75,tau75,Iter7,0.09,0.07,0.01,0.02,0.07,0.38,0.13,0.07,0.01,0.02,0.05,0.54,0.03,0.08,0.01,0.03,0.10,0.32,0.01,0.05,0.01,0.03,0.04,0.25
Tmax75,tau75,Iter8,0.09,0.09,0.05,0.09,0.06,0.21,0.06,0.07,0.01,0.13,0.06,0.29,0.02,0.06,0.01,0.04,0.03,0.42,0.04,0.10,0.01,0.13,0.07,0.27
Tmax75,tau75,Iter9,0.04,0.12,0.01,0.10,0.15,0.16,0.09,0.12,0.02,0.13,0.22,0.17,0.06,0.05,0.01,0.09,0.14,0.11,0.05,0.03,0.01,0.17,0.12,0.12
Tmax75,tau100,Iter0,0.07,0.17,0.01,0.13,0.09,0.32,0.07,0.35,0.01,0.13,0.07,0.48,0.06,0.34,0.01,0.49,0.04,0.40,0.06,0.29,0.01,0.30,0.04,0.28
Tmax75,tau100,Iter1,0.09,0.10,0.08,0.08,0.06,0.09,0.08,0.15,0.07,0.07,0.09,0.05,0.02,0.02,0.05,0.13,0.05,0.05,0.02,0.02,0.03,0.08,0.09,0.05
