 , , ,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,F4,F4,F4,F4
 , , ,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax300,tau150,Iter0,0.18,41.71,0.35,7.11,0.33,44.25,0.63,16.69,0.10,36.28,0.18,9.01,0.20,17.60,0.43,21.46
Tmax300,tau150,Iter1,0.11,31.43,0.29,107.82,0.24,30.93,0.33,80.50,0.15,28.74,0.24,54.35,0.30,65.71,0.34,32.01
Tmax300,tau150,Iter2,0.18,7.12,0.06,17.52,0.15,7.03,0.29,47.73,0.09,1.71,0.10,11.92,0.12,2.56,0.21,12.36
Tmax300,tau150,Iter3,0.32,12.73,0.15,69.84,0.22,46.43,0.24,83.65,0.25,2.66,0.10,6.22,0.24,10.66,0.18,24.30
Tmax300,tau150,Iter4,0.11,7.79,0.37,5.02,0.11,8.97,0.44,4.47,0.15,7.90,0.23,1.89,0.11,6.97,0.41,2.97
Tmax300,tau150,Iter5,0.16,14.36,0.16,21.37,0.19,130.05,0.27,16.90,0.18,8.18,0.15,12.07,0.22,21.10,0.24,4.21
Tmax300,tau150,Iter6,0.14,1.81,0.23,17.60,0.35,6.64,0.56,29.90,0.20,1.33,0.18,7.10,0.18,9.36,0.28,4.73
Tmax300,tau150,Iter7,0.12,10.45,0.16,20.91,0.14,24.93,0.26,14.09,0.11,32.21,0.16,11.04,0.13,21.13,0.18,4.74
Tmax300,tau150,Iter8,0.51,119.34,0.26,1.38,0.51,192.89,0.27,2.49,0.37,160.04,0.25,1.46,0.53,887.26,0.24,2.18
Tmax300,tau150,Iter9,0.15,11.30,0.28,20.72,0.27,2.08,0.29,4.28,0.22,4.86,0.42,8.34,0.12,3.41,0.34,16.97
Tmax600,tau50,Iter0,0.00,0.01,0.17,0.12,0.01,0.03,0.14,0.45,0.00,0.01,0.04,0.18,0.00,0.02,0.06,0.28
Tmax600,tau50,Iter1,0.00,0.01,0.01,0.02,0.01,0.08,0.06,0.09,0.00,0.04,0.04,0.05,0.01,0.05,0.02,0.07
Tmax600,tau50,Iter2,0.00,0.01,0.04,0.09,0.01,0.02,0.01,0.17,0.00,0.01,0.03,0.04,0.00,0.02,0.05,0.07
Tmax600,tau50,Iter3,0.00,0.01,0.01,0.10,0.01,0.03,0.07,0.42,0.00,0.01,0.04,0.08,0.01,0.03,0.04,0.40
Tmax600,tau50,Iter4,0.00,0.02,0.15,0.33,0.01,0.22,0.06,0.26,0.01,0.02,0.08,0.44,0.01,0.04,0.05,0.36
Tmax600,tau50,Iter5,0.00,0.01,0.06,0.16,0.01,0.02,0.05,0.24,0.00,0.01,0.01,0.16,0.00,0.02,0.13,0.22
Tmax600,tau50,Iter6,0.00,0.01,0.02,0.05,0.01,0.02,0.04,0.05,0.00,0.00,0.05,0.05,0.00,0.02,0.04,0.03
Tmax600,tau50,Iter7,0.00,0.02,0.10,0.43,0.01,0.04,0.15,0.91,0.00,0.02,0.11,0.48,0.01,0.03,0.17,0.70
Tmax600,tau50,Iter8,0.00,0.02,0.09,0.16,0.01,0.04,0.06,0.34,0.00,0.02,0.05,0.15,0.01,0.04,0.07,0.27
Tmax600,tau50,Iter9,0.01,0.03,0.16,0.84,0.06,0.29,0.16,3.27,0.01,0.03,0.16,1.68,0.01,0.14,0.13,4.45
Tmax600,tau75,Iter0,0.00,0.08,0.06,0.18,0.01,0.05,0.07,0.46,0.00,0.16,0.04,0.19,0.01,0.05,0.08,0.31
Tmax600,tau75,Iter1,0.01,0.18,0.20,0.24,0.04,0.36,0.19,1.55,0.01,0.12,0.06,0.20,0.10,0.25,0.19,0.99
Tmax600,tau75,Iter2,0.00,0.01,0.01,0.08,0.01,0.03,0.01,0.09,0.00,0.01,0.02,0.13,0.01,0.03,0.01,0.14
Tmax600,tau75,Iter3,0.00,0.02,0.09,0.16,0.01,0.11,0.07,0.44,0.01,0.02,0.05,0.13,0.01,0.10,0.03,0.34
Tmax600,tau75,Iter4,0.03,0.29,0.08,0.42,0.02,0.42,0.09,1.44,0.09,0.49,0.04,0.35,0.02,0.71,0.05,0.76
Tmax600,tau75,Iter5,0.00,0.01,0.08,0.24,0.01,0.05,0.09,0.36,0.00,0.01,0.04,0.20,0.01,0.04,0.16,0.57
Tmax600,tau75,Iter6,0.00,0.01,0.07,0.07,0.01,0.04,0.08,0.07,0.00,0.01,0.04,0.13,0.01,0.03,0.04,0.11
Tmax600,tau75,Iter7,0.01,0.23,0.13,0.71,0.02,0.38,0.18,1.90,0.01,0.27,0.14,0.54,0.02,0.40,0.14,1.66
Tmax600,tau75,Iter8,0.20,0.19,0.15,0.62,0.13,0.85,0.26,1.90,0.06,0.31,0.16,0.54,0.22,0.26,0.20,1.84
Tmax600,tau75,Iter9,0.11,3.59,0.53,18.11,0.08,1.37,0.46,5.06,0.11,7.81,0.27,37.32,0.09,1.20,0.43,25.69
Tmax600,tau150,Iter0,0.08,37.73,0.25,2.97,0.39,33.65,0.32,4.42,0.08,23.24,0.16,5.41,0.17,32.38,0.18,4.41
Tmax600,tau150,Iter1,0.13,58.95,0.23,1.47,0.26,16.34,0.32,2.92,0.24,27.89,0.28,4.35,0.21,33.61,0.23,2.33
Tmax600,tau150,Iter2,0.17,2.10,0.11,6.32,0.12,6.93,0.31,3.24,0.07,1.83,0.12,5.94,0.11,2.48,0.11,3.14
Tmax600,tau150,Iter3,0.20,5.40,0.25,2.29,0.20,3.01,0.32,2.35,0.16,6.16,0.32,3.00,0.16,3.21,0.17,2.43
Tmax600,tau150,Iter4,0.14,11.54,0.17,3.34,0.22,8.78,0.35,4.19,0.12,14.64,0.25,4.93,0.14,8.37,0.26,3.48
Tmax600,tau150,Iter5,0.14,7.62,0.13,18.20,0.16,7.74,0.26,9.43,0.13,11.10,0.17,20.51,0.18,3.43,0.18,14.60
Tmax600,tau150,Iter6,0.05,1.13,0.09,2.17,0.18,1.72,0.25,2.45,0.08,1.59,0.21,4.15,0.12,2.45,0.23,2.14
Tmax600,tau150,Iter7,0.16,13.81,0.10,20.88,0.20,16.48,0.28,3.88,0.13,29.60,0.16,20.02,0.18,11.47,0.16,5.24
Tmax600,tau150,Iter8,0.30,47.34,0.24,1.21,0.37,73.68,0.25,2.24,0.38,250.91,0.38,2.04,0.25,1359.47,0.23,10.74
Tmax600,tau150,Iter9,0.21,15.28,0.29,11.59,0.31,2.53,0.31,15.80,0.21,27.81,0.38,66.38,0.21,4.72,0.29,22.33
