Instance,Task count,Recharge count,Distance,Travelled,by each,robot
F1R2D2T10Delta150Tmax150Iter7,2,0,50.97252372,232.3341089,,
F1R2D2T10Delta150Tmax150Iter8,2,0,182.8759735,34.44572056,,
F1R2D2T10Delta150Tmax150Iter9,2,0,122.8051528,61.64542655,,
F1R2D2T10Delta150Tmax300Iter0,4,0,715.8365548,71.19754195,,
F1R2D2T10Delta150Tmax300Iter1,4,0,537.7185896,82.61814929,,
F1R2D2T10Delta150Tmax300Iter2,3,1,280.6882926,220.2199026,,
F1R2D2T10Delta150Tmax300Iter3,3,0,108.1578512,311.4564292,,
F1R2D2T10Delta150Tmax300Iter4,4,0,94.04596004,382.9610144,,
F1R2D2T10Delta150Tmax300Iter5,3,0,115.4664197,279.3313374,,
F1R2D2T10Delta150Tmax300Iter6,4,0,94.65468442,378.788942,,
F1R2D2T10Delta150Tmax300Iter7,4,0,79.85530733,474.0778691,,
F1R2D2T10Delta150Tmax300Iter8,5,0,618.7031442,152.7960035,,
F1R2D2T10Delta150Tmax300Iter9,4,1,505.3678389,390.2181833,,
F1R2D2T10Delta150Tmax600Iter0,3,0,0,787.0340967,,
F1R2D2T10Delta150Tmax600Iter1,5,0,82.61814929,860.058546,,
F1R2D2T10Delta150Tmax600Iter2,5,2,946.2473144,220.2199026,,
F1R2D2T10Delta150Tmax600Iter3,4,0,0,647.9191719,,
F1R2D2T10Delta150Tmax600Iter4,4,0,0,577.0069744,,
F1R2D2T10Delta150Tmax600Iter5,5,0,694.1217919,115.4664197,,
F1R2D2T10Delta150Tmax600Iter6,5,0,0,699.6673554,,
F1R2D2T10Delta150Tmax600Iter7,4,1,0,980.2667292,,
F1R2D2T10Delta150Tmax600Iter8,4,0,43.85456186,727.6445859,,
F1R2D2T10Delta150Tmax600Iter9,4,0,1000.652609,0,,
F1R2D3T5Delta50Tmax150Iter0,1,0,15.21297023,0,,
F1R2D3T5Delta50Tmax150Iter1,2,0,29.22316354,0,,
F1R2D3T5Delta50Tmax150Iter2,0,0,0,0,,
F1R2D3T5Delta50Tmax150Iter3,0,0,0,0,,
F1R2D3T5Delta50Tmax150Iter4,0,0,0,0,,
F1R2D3T5Delta50Tmax150Iter5,1,0,19.44380011,0,,
F1R2D3T5Delta50Tmax150Iter6,1,2,89.46290041,0,,
F1R2D3T5Delta50Tmax150Iter7,1,0,0,15.25843877,,
F1R2D3T5Delta50Tmax150Iter8,3,1,20.40255065,96.26012477,,
F1R2D3T5Delta50Tmax150Iter9,3,2,167.1296876,23.27938572,,
F1R2D3T5Delta50Tmax300Iter0,1,0,15.21297023,0,,
F1R2D3T5Delta50Tmax300Iter1,2,0,29.22316354,0,,
F1R2D3T5Delta50Tmax300Iter2,0,0,0,0,,
F1R2D3T5Delta50Tmax300Iter3,0,0,0,0,,
F1R2D3T5Delta50Tmax300Iter4,0,0,0,0,,
F1R2D3T5Delta50Tmax300Iter5,1,0,19.44380011,0,,
F1R2D3T5Delta50Tmax300Iter6,1,2,0,89.46290041,,
F1R2D3T5Delta50Tmax300Iter7,1,0,0,15.25843877,,
F1R2D3T5Delta50Tmax300Iter8,3,1,20.40255065,96.26012477,,
F1R2D3T5Delta50Tmax300Iter9,3,1,190.4090733,0,,
F1R2D3T5Delta50Tmax600Iter0,1,0,15.21297023,0,,
F1R2D3T5Delta50Tmax600Iter1,2,0,29.22316354,0,,
F1R2D3T5Delta50Tmax600Iter2,0,0,0,0,,
F1R2D3T5Delta50Tmax600Iter3,0,0,0,0,,
F1R2D3T5Delta50Tmax600Iter4,0,0,0,0,,
F1R2D3T5Delta50Tmax600Iter5,1,0,19.44380011,0,,
F1R2D3T5Delta50Tmax600Iter6,1,2,0,89.46290041,,
F1R2D3T5Delta50Tmax600Iter7,1,0,0,15.25843877,,
F1R2D3T5Delta50Tmax600Iter8,3,1,20.40255065,96.26012477,,
F1R2D3T5Delta50Tmax600Iter9,3,1,190.4090733,0,,
F1R2D3T5Delta75Tmax150Iter0,1,0,15.75770364,0,,
F1R2D3T5Delta75Tmax150Iter1,1,0,29.28510127,0,,
F1R2D3T5Delta75Tmax150Iter2,2,2,26.92506131,181.5990345,,
F1R2D3T5Delta75Tmax150Iter3,1,0,31.12484865,0,,
F1R2D3T5Delta75Tmax150Iter4,2,3,86.49487466,125.821331,,
F1R2D3T5Delta75Tmax150Iter5,1,0,16.81065449,0,,
F1R2D3T5Delta75Tmax150Iter6,2,1,57.44352872,82.14309272,,
F1R2D3T5Delta75Tmax150Iter7,3,2,37.42593592,193.4787832,,
F1R2D3T5Delta75Tmax150Iter8,3,2,61.53572223,138.8626487,,
F1R2D3T5Delta75Tmax150Iter9,3,0,168.2124536,30.18247311,,
F1R2D3T5Delta75Tmax300Iter0,1,0,15.75770364,0,,
F1R2D3T5Delta75Tmax300Iter1,1,0,29.28510127,0,,
F1R2D3T5Delta75Tmax300Iter2,2,2,26.92506131,181.5990345,,
F1R2D3T5Delta75Tmax300Iter3,1,0,31.12484865,0,,
F1R2D3T5Delta75Tmax300Iter4,2,1,174.8162056,0,,
F1R2D3T5Delta75Tmax300Iter5,1,0,16.81065449,0,,
F1R2D3T5Delta75Tmax300Iter6,3,1,218.3343186,0,,
F1R2D3T5Delta75Tmax300Iter7,3,1,193.4047191,0,,
F1R2D3T5Delta75Tmax300Iter8,3,0,200.3983709,0,,
F1R2D3T5Delta75Tmax300Iter9,2,1,235.8949267,0,,
F1R2D3T5Delta75Tmax600Iter0,1,0,15.75770364,0,,
F1R2D3T5Delta75Tmax600Iter1,1,0,0,29.28510127,,
F1R2D3T5Delta75Tmax600Iter2,2,2,26.92506131,181.5990345,,
F1R2D3T5Delta75Tmax600Iter3,1,0,31.12484865,0,,
F1R2D3T5Delta75Tmax600Iter4,2,2,0,212.3162056,,
F1R2D3T5Delta75Tmax600Iter5,1,0,16.81065449,0,,
F1R2D3T5Delta75Tmax600Iter6,3,1,218.3343186,0,,
F1R2D3T5Delta75Tmax600Iter7,3,1,37.42593592,155.9787832,,
F1R2D3T5Delta75Tmax600Iter8,3,0,200.3983709,0,,
F1R2D3T5Delta75Tmax600Iter9,2,1,235.8949267,0,,
F1R2D3T5Delta150Tmax150Iter0,1,0,39.67297761,0,,
F1R2D3T5Delta150Tmax150Iter1,2,0,31.16183392,92.07361962,,
F1R2D3T5Delta150Tmax150Iter2,2,0,79.14899204,57.78346917,,
F1R2D3T5Delta150Tmax150Iter3,1,0,0,91.703707,,
F1R2D3T5Delta150Tmax150Iter4,2,0,116.1650193,67.09923034,,
F1R2D3T5Delta150Tmax150Iter5,2,0,18.64861468,103.2793984,,
F1R2D3T5Delta150Tmax150Iter6,2,0,92.88181492,60.42866774,,
F1R2D3T5Delta150Tmax150Iter7,2,0,105.9282252,29.04638046,,
F1R2D3T5Delta150Tmax150Iter8,1,0,77.60531958,0,,
F1R2D3T5Delta150Tmax150Iter9,2,0,73.08056775,133.3073597,,
F1R2D3T5Delta150Tmax300Iter0,4,2,386.0800632,341.7143948,,
F1R2D3T5Delta150Tmax300Iter1,4,1,362.9599463,88.75606923,,
F1R2D3T5Delta150Tmax300Iter2,3,1,79.14899204,394.8988005,,
F1R2D3T5Delta150Tmax300Iter3,2,2,91.703707,375.1765585,,
F1R2D3T5Delta150Tmax300Iter4,2,2,67.09923034,362.2174649,,
F1R2D3T5Delta150Tmax300Iter5,2,1,177.3394416,103.2793984,,
F1R2D3T5Delta150Tmax300Iter6,4,0,43.68058008,368.7967,,
F1R2D3T5Delta150Tmax300Iter7,2,0,277.5787292,0,,
F1R2D3T5Delta150Tmax300Iter8,3,0,305.2559496,21.50690874,,
F1R2D3T5Delta150Tmax300Iter9,2,0,0,381.7847903,,
F1R2D3T5Delta150Tmax600Iter0,4,1,652.794458,0,,
F1R2D3T5Delta150Tmax600Iter1,3,1,0,451.7160155,,
F1R2D3T5Delta150Tmax600Iter2,2,1,0,474.0477926,,
